commune_name,TERYT,commune_type,commune_population,number_of_places,number_of_places_per_1000_inh,voi_code
Miedzna,1433062,2,3812,0,0,14
Miedźna,2410032,2,16590,0,0,24
Miedźno,2406042,2,7548,0,0,24
Miejsce Piastowe,1807072,2,13691,30,1.09561025491199,18
Miejska Górka,3022033,3,9249,0,0,30
Mielec,1811011,1,60323,0,0,18
Mielec,1811052,2,13389,0,0,18
Mieleszyn,3003072,2,4038,0,0,30
Mielnik,2010052,2,2319,0,0,20
Mielno,3209053,3,4888,0,0,32
Mieroszów,0221063,3,6760,0,0,02
Mierzęcice,2401052,2,7635,0,0,24
Mieszkowice,3206053,3,7047,0,0,32
Mieścisko,3028042,2,5937,0,0,30
Mietków,0223062,2,3759,0,0,02
Międzybórz,0214053,3,5092,0,0,02
Międzychód,3014033,3,18391,0,0,30
Międzylesie,0208103,3,7168,0,0,02
Międzyrzec Podlaski,0601102,2,10467,102,3.24830419413394,06
Międzyrzec Podlaski,0601011,1,16753,0,0,06
Międzyrzecz,0803023,3,24815,0,0,08
Międzyzdroje,3207043,3,6452,0,0,32
Miękinia,0218032,2,17006,0,0,02
Mikołajki,2810023,3,8131,0,0,28
Mikołajki Pomorskie,2216022,2,3627,20,5.51419906258616,22
Mikołów,2408021,1,41014,0,0,24
Mikstat,3018063,3,6046,15,2.48097915977506,30
Milanów,0613032,2,3762,0,0,06
Milanówek,1405011,1,16416,0,0,14
Milejczyce,2010062,2,1710,0,0,20
Milejewo,2804052,2,3419,0,0,28
Milejów,0610042,2,9085,0,0,06
Milicz,0213033,3,24197,30,1.23982311856842,02
Milówka,2417092,2,10067,20,1.9866891824774,24
Miłakowo,2815063,3,5404,0,0,28
Miłki,2806062,2,3722,0,0,28
Miłkowice,0209062,2,6762,0,0,02
Miłomłyn,2815073,3,4919,0,0,28
Miłoradz,2209062,2,3348,0,0,22
Miłosław,3030023,3,10202,0,0,30
Mińsk Mazowiecki,1412112,2,15490,0,0,14
Mińsk Mazowiecki,1412011,1,40999,0,0,14
Mircze,0604052,2,7007,0,0,06
Mirosławiec,3217033,3,5402,0,0,32
Mirów,1430032,2,3898,0,0,14
Mirsk,0212043,3,8525,0,0,02
Mirzec,2611032,2,8260,20,2.42130750605327,26
Mława,1413011,1,31246,0,0,14
Młodzieszyn,1428042,2,5575,0,0,14
Młynary,2804063,3,4406,0,0,28
Młynarze,1411052,2,1742,0,0,14
Mniów,2604112,2,9346,15,1.6049646907768,26
Mniszków,1007032,2,4770,0,0,10
Mochowo,1427032,2,6009,0,0,14
Modliborzyce,0605063,3,6957,0,0,06
Mogielnica,1406073,3,8682,0,0,14
Mogilany,1206092,2,14233,20,1.40518513314129,12
Mogilno,0409033,3,24574,0,0,04
Mokobody,1426042,2,4939,20,4.04940271309982,14
Mokrsko,1017042,2,5401,0,0,10
Mońki,2008063,3,14874,0,0,20
Morawica,2604123,3,16756,0,0,26
Morąg,2815083,3,24199,0,0,28
Mordy,1426053,3,5780,0,0,14
Moryń,3206063,3,4267,0,0,32
Morzeszczyn,2214032,2,3649,20,5.48095368594135,22
Mosina,3021103,3,33442,0,0,30
Moskorzew,2613032,2,2640,0,0,26
Moszczenica,1010062,2,12930,0,0,10
Moszczenica,1205072,2,4983,0,0,12
Mrągowo,2810011,1,21556,50,2.31953980330302,28
Mrągowo,2810032,2,7975,0,0,28
Mrocza,0410023,3,9233,0,0,04
Mrozy,1412123,3,8712,0,0,14
Mstów,2404102,2,10834,0,0,24
Mszana,2415092,2,7690,60,3.90117035110533,24
Mszana Dolna,1207021,1,7889,0,0,12
Mszana Dolna,1207092,2,17623,0,0,12
Mszczonów,1438023,3,11525,10,0.867678958785249,14
Mściwojów,0205042,2,4054,0,0,02
Mucharz,1218052,2,4122,0,0,12
Murowana Goślina,3021113,3,16901,0,0,30
Murów,1609062,2,5298,0,0,16
Muszyna,1210113,3,11566,0,0,12
Mycielin,3007072,2,4873,0,0,30
Mykanów,2404112,2,15104,0,0,24
Mysłakowice,0206072,2,10160,30,2.95275590551181,02
Mysłowice,2470011,1,74618,0,0,24
Myszków,2409011,1,31585,0,0,24
Myszyniec,1415083,3,10437,15,1.43719459614832,14
Myślenice,1209033,3,44444,0,0,12
Myślibórz,3210043,3,19702,0,0,32
Nadarzyn,1421052,2,14032,0,0,14
Nagłowice,2602042,2,4915,0,0,26
Nakło nad Notecią,0410033,3,31668,0,0,04
Nałęczów,0614083,3,8962,0,0,06
Namysłów,1606023,3,26172,0,0,16
Narew,2005082,2,3454,0,0,20
Narewka,2005092,2,3609,15,4.15627597672485,20
Narol,1809053,3,7967,0,0,18
Naruszewo,1420072,2,6312,20,3.16856780735108,14
Nasielsk,1414043,3,19965,23,1.15201602804909,14
Nawojowa,1210122,2,8730,0,0,12
Nekla,3030033,3,7571,30,3.96248844274204,30
Nędza,2411062,2,7453,0,0,24
Nidzica,2811043,3,21003,17,0.80940817978384,28
Nieborów,1005092,2,9321,0,0,10
Niebylec,1819032,2,10541,0,0,18
Niechanowo,3003082,2,5965,0,0,30
Niechlów,0204032,2,4840,15,3.09917355371901,02
Niedrzwica Duża,0609102,2,11917,0,0,06
Niedźwiada,0608092,2,6183,20,3.23467572375869,06
Niedźwiedź,1207102,2,7337,0,0,12
Niegosławice,0810062,2,4357,0,0,08
Niegowa,2409032,2,5608,0,0,24
Nielisz,0620072,2,5427,0,0,06
Niemce,0609112,2,19814,0,0,06
Niemcza,0202073,3,5470,40,7.31261425959781,02
Niemodlin,1609073,3,13162,0,0,16
Niepołomice,1219043,3,29141,0,0,12
Nieporęt,1408032,2,14687,0,0,14
Nieszawa,0401031,1,1843,20,10.851871947911,04
Nisko,1812053,3,22358,0,0,18
Niwiska,1806042,2,6091,0,0,18
Nowa Brzeźnica,1009032,2,4558,0,0,10
Nowa Dęba,1820043,3,18027,0,0,18
Nowa Karczma,2206072,2,7049,0,0,22
Nowa Ruda,0208041,1,21908,0,0,02
Nowa Ruda,0208112,2,11546,0,0,02
Nowa Sarzyna,1808053,3,21579,30,1.39024051160851,18
Nowa Słupia,2604133,3,9471,0,0,26
Nowa Sól,0804011,1,38645,20,0.51753137533963,08
Nowa Sól,0804052,2,6943,0,0,08
Nowa Sucha,1428052,2,6686,0,0,14
Nowa Wieś Lęborska,2208042,2,13645,0,0,22
Nowa Wieś Wielka,0403052,2,10195,0,0,04
Nowe,0414063,3,10183,0,0,04
Nowe Brzesko,1214033,3,5712,15,2.62605042016807,12
Nowe Miasteczko,0804063,3,5358,0,0,08
Nowe Miasto,1420082,2,4655,0,0,14
Nowe Miasto Lubawskie,2812011,1,10850,0,0,28
Nowe Miasto Lubawskie,2812052,2,8245,0,0,28
Nowe Miasto nad Pilicą,1406083,3,7668,0,0,14
Nowe Miasto nad Wartą,3025032,2,9057,0,0,30
Nowe Ostrowy,1002082,2,3443,0,0,10
Nowe Piekuty,2013072,2,3861,0,0,20
Nowe Skalmierzyce,3017023,3,15563,0,0,30
Nowe Warpno,3211033,3,1636,0,0,32
Nowinka,2001052,2,2953,0,0,20
Nowodwór,0616032,2,4072,0,0,06
Nowogard,3204043,3,24634,0,0,32
Nowogrodziec,0201043,3,15214,0,0,02
Nowogród,2007043,3,4028,0,0,20
Nowogród Bobrzański,0809053,3,9441,15,1.58881474420083,08
Nowogródek Pomorski,3210052,2,3357,0,0,32
Nowosolna,1006082,2,5084,0,0,10
Nowy Duninów,1419092,2,3977,15,3.7716872014081,14
Nowy Dwór,2011062,2,2618,0,0,20
Nowy Dwór Gdański,2210023,3,17695,20,1.13026278609777,22
Nowy Dwór Mazowiecki,1414011,1,28679,30,1.04606157815823,14
Nowy Kawęczyn,1015072,2,3370,0,0,10
Nowy Korczyn,2601033,3,5916,0,0,26
Nowy Sącz,1262011,1,83794,30,0.358020860682149,12
Nowy Staw,2209073,3,7637,0,0,22
Nowy Targ,1211011,1,33293,30,0.901090319286336,12
Nowy Targ,1211092,2,24070,0,0,12
Nowy Tomyśl,3015043,3,27045,0,0,30
Nowy Wiśnicz,1201063,3,14177,0,0,12
Nowy Żmigród,1805072,2,9009,0,0,18
Nozdrzec,1802062,2,7996,30,3.75187593796898,18
Nur,1416062,2,2673,0,0,14
Nurzec-Stacja,2010072,2,3793,0,0,20
Nysa,1607053,3,56951,40,0.35117908377377,16
Oborniki,3016013,3,34179,15,0.43886597033266,30
Oborniki Śląskie,0220013,3,20317,0,0,02
Obrazów,2609062,2,6375,0,0,26
Obrowo,0415072,2,17753,0,0,04
Obryte,1424022,2,4805,0,0,14
Obrzycko,3024011,1,2375,0,0,30
Obrzycko,3024042,2,4467,0,0,30
Obsza,0602102,2,4233,0,0,06
Ochotnica Dolna,1211102,2,8513,0,0,12
Odolanów,3017033,3,14655,0,0,30
Odrzywół,1423042,2,3752,0,0,14
Ogrodzieniec,2416063,3,9061,0,0,24
Ojrzeń,1402062,2,4291,0,0,14
Okonek,3031053,3,8502,0,0,30
Oksa,2602052,2,4574,20,4.37254044599913,26
Olecko,2813043,3,22025,0,0,28
Olesno,1608033,3,17763,30,1.68890390136801,16
Olesno,1204052,2,7966,0,0,12
Oleszyce,1809063,3,6332,0,0,18
Oleśnica,0214011,1,37142,0,0,02
Oleśnica,0214062,2,13854,0,0,02
Oleśnica,2612033,3,3880,0,0,26
Olkusz,1212053,3,48601,0,0,12
Olszanica,1821042,2,4894,0,0,18
Olszanka,1410032,2,2943,15,5.09683995922528,14
Olszanka,1601062,2,4867,0,0,16
Olszewo-Borki,1415092,2,10786,0,0,14
Olszówka,3009092,2,4502,0,0,30
Olsztyn,2862011,1,171979,30,0.174439902546241,28
Olsztyn,2404122,2,7810,0,0,24
Olsztynek,2814093,3,13701,0,0,28
Olszyna,0210053,3,6508,0,0,02
Oława,0215011,1,33108,0,0,02
Oława,0215042,2,15190,0,0,02
Opalenica,3015053,3,16397,0,0,30
Opatowiec,2603043,3,3283,0,0,26
Opatów,2406052,2,6818,0,0,24
Opatów,2606043,3,11663,0,0,26
Opatówek,3007083,3,10808,0,0,30
Opinogóra Górna,1402072,2,5963,20,3.35401643468053,14
Opoczno,1007043,3,34108,0,0,10
Opole,1661011,1,128035,0,0,16
Opole Lubelskie,0612053,3,17108,0,0,06
Oporów,1002092,2,2495,0,0,10
Orchowo,3023032,2,3795,0,0,30
Orla,2003062,2,2702,0,0,20
Orły,1813072,2,8894,0,0,18
Orneta,2809053,3,11909,0,0,28
Ornontowice,2408042,2,6176,0,0,24
Orońsko,1430042,2,5969,0,0,14
Orzesze,2408031,1,21189,15,0.707914483930341,24
Orzysz,2816023,3,8863,0,0,28
Osie,0414072,2,5496,0,0,04
Osieck,1417062,2,3636,20,5.5005500550055,14
Osieczna,2213072,2,2880,0,0,22
Osieczna,3013033,3,9269,0,0,30
Osiecznica,0201052,2,7349,0,0,02
Osiek,0402082,2,4043,0,0,04
Osiek,1213052,2,8224,0,0,12
Osiek,2213082,2,2376,0,0,22
Osiek,2612043,3,7689,0,0,26
Osiek Jasielski,1805082,2,5372,0,0,18
Osiek Mały,3009102,2,6155,0,0,30
Osielsko,0403062,2,14771,0,0,04
Osięciny,0411042,2,7595,0,0,04
Osina,3204052,2,3034,0,0,32
Osjaków,1017052,2,4738,0,0,10
Ostaszewo,2210032,2,3216,0,0,22
Ostrołęka,1461011,1,52055,0,0,14
Ostroróg,3024053,3,4925,0,0,30
Ostrowiec Świętokrzyski,2607011,1,68338,0,0,26
Ostrowite,3023042,2,5077,0,0,30
Ostróda,2815092,2,16114,20,1.24115675809855,28
Ostróda,2815011,1,32888,0,0,28
Ostrów,1815022,2,7358,0,0,18
Ostrów Lubelski,0608103,3,5244,0,0,06
Ostrów Mazowiecka,1416072,2,12884,0,0,14
Ostrów Mazowiecka,1416011,1,22399,15,0.669672753247913,14
Ostrów Wielkopolski,3017011,1,71931,30,0.417066355257121,30
Ostrów Wielkopolski,3017042,2,19147,0,0,30
Ostrówek,0608112,2,3829,0,0,06
Ostrówek,1017062,2,4481,0,0,10
Ostrzeszów,3018073,3,24004,40,1.66638893517747,30
Ośno Lubuskie,0805033,3,6376,0,0,08
Oświęcim,1213011,1,38005,0,0,12
Oświęcim,1213062,2,18505,0,0,12
Otmuchów,1607063,3,13501,0,0,16
Otwock,1417021,1,44635,0,0,14
Otyń,0804073,3,7012,0,0,08
Ozimek,1609083,3,19543,0,0,16
Ozorków,1020021,1,19311,0,0,10
Ozorków,1020062,2,7021,0,0,10
Ożarowice,2413062,2,5795,0,0,24
Ożarów,2606053,3,10662,55,2.57925342337273,26
Ożarów Mazowiecki,1432063,3,25440,0,0,14
Pabianice,1008021,1,64757,0,0,10
Pabianice,1008072,2,7636,0,0,10
Pacanów,2601043,3,7322,0,0,26
Pacyna,1404032,2,3527,0,0,14
Paczków,1607073,3,12535,0,0,16
Padew Narodowa,1811062,2,5381,40,7.43356253484482,18
Pajęczno,1009043,3,11510,0,0,10
Pakosław,3022042,2,4918,0,0,30
Pakosławice,1607082,2,3500,0,0,16
Pakość,0407073,3,9793,0,0,04
Pałecznica,1214042,2,3568,0,0,12
Panki,2406062,2,5039,0,0,24
Papowo Biskupie,0404052,2,4343,0,0,04
Paprotnia,1426062,2,2549,0,0,14
Paradyż,1007052,2,4354,0,0,10
Parchowo,2201072,2,3795,0,0,22
Parczew,0613043,3,14445,0,0,06
Parysów,1403092,2,4128,0,0,14
Parzęczew,1020072,2,5112,0,0,10
Pasłęk,2804073,3,19313,0,0,28
Pasym,2817043,3,5312,0,0,28
Paszowice,0205052,2,3997,0,0,02
Pawłosiów,1804062,2,8450,0,0,18
Pawłowice,2410042,2,18172,0,0,24
Pawłowiczki,1603042,2,7426,0,0,16
Pawłów,2611042,2,15240,0,0,26
Pawonków,2407072,2,6635,0,0,24
Pątnów,1017072,2,6504,0,0,10
Pcim,1209042,2,11131,0,0,12
Pelplin,2214043,3,16166,30,0.927873314363479,22
Pełczyce,3202053,3,7764,0,0,32
Perlejewo,2010082,2,2778,10,3.59971202303816,20
Perzów,3008052,2,3777,0,0,30
Pęcław,0203052,2,2259,0,0,02
Pęczniew,1011022,2,3478,0,0,10
Pępowo,3004042,2,5948,0,0,30
Piaseczno,1418043,3,85226,110,1.29068594091005,14
Piaski,0617033,3,10530,0,0,06
Piaski,3004052,2,8630,0,0,30
Piastów,1421011,1,22679,0,0,14
Piątek,1004063,2,5982,0,0,10
Piątnica,2007052,2,10702,0,0,20
Piechowice,0206031,1,6156,30,4.87329434697856,02
Piecki,2810042,2,7572,0,0,28
Piekary Śląskie,2471011,1,55030,0,0,24
Piekoszów,2604142,2,16489,20,1.21292983200922,26
Pielgrzymka,0226032,2,4551,0,0,02
Pieniężno,2802053,3,6183,0,0,28
Pieńsk,0225043,3,9022,0,0,02
Pierzchnica,2604153,3,4700,0,0,26
Pieszyce,0202033,3,9410,50,5.3134962805526,02
Pietrowice Wielkie,2411072,2,6883,0,0,24
Pilawa,1403103,3,10975,10,0.911161731207289,14
Pilchowice,2405042,2,12013,0,0,24
Pilica,2416073,3,8570,0,0,24
Pilzno,1803063,3,18250,0,0,18
Piła,3019011,1,73139,0,0,30
Piława Górna,0202041,1,6394,10,1.56396621832968,02
Pińczów,2608043,3,20626,0,0,26
Pionki,1425011,1,18159,0,0,14
Pionki,1425082,2,9979,0,0,14
Piotrków Kujawski,0411053,3,9234,0,0,04
Piotrków Trybunalski,1062011,1,73090,0,0,10
Pisz,2816033,3,27659,0,0,28
Piszczac,0601112,2,7188,0,0,06
Piwniczna-Zdrój,1210133,3,10588,0,0,12
Platerów,1410042,2,4849,0,0,14
Platerówka,0210062,2,1630,0,0,02
Pleszew,3020063,3,29807,0,0,30
Pleśna,1216042,2,11944,0,0,12
Płaska,2001062,2,2583,0,0,20
Płock,1462011,1,119425,0,0,14
Płoniawy-Bramura,1411062,2,5336,0,0,14
Płońsk,1420011,1,22107,30,1.35703623286742,14
Płońsk,1420092,2,7943,0,0,14
Płoskinia,2802062,2,2486,0,0,28
Płośnica,2803052,2,5604,25,4.46109921484654,28
Płoty,3205043,3,8801,0,0,32
Płużnica,0417042,2,4775,0,0,04
Pniewy,1406092,2,4797,30,6.25390869293308,14
Pniewy,3024063,3,12708,0,0,30
Pobiedziska,3021123,3,19741,0,0,30
Poczesna,2404132,2,12707,0,0,24
Poddębice,1011033,3,15505,0,0,10
Podedwórze,0613052,2,1615,0,0,06
Podegrodzie,1210142,2,13279,0,0,12
Podgórzyn,0206082,2,8249,0,0,02
Podkowa Leśna,1405021,1,3844,20,5.20291363163371,14
Pogorzela,3004063,3,4937,0,0,30
Pokój,1606032,2,5178,0,0,16
Pokrzywnica,1424032,2,5029,0,0,14
Polanica-Zdrój,0208051,1,6307,0,0,02
Polanka Wielka,1213072,2,4313,0,0,12
Polanów,3209063,3,8610,0,0,32
Police,3211043,3,41288,0,0,32
Policzna,1436022,2,5473,0,0,14
Polkowice,0216043,3,27727,0,0,02
Polska Cerekiew,1603052,2,4013,0,0,16
Połajewo,3002062,2,6173,0,0,30
Połaniec,2612053,3,11764,0,0,26
Połczyn-Zdrój,3216033,3,15118,0,0,32
Pomiechówek,1414052,2,9090,0,0,14
Poniatowa,0612063,3,14149,0,0,06
Poniec,3004073,3,7734,0,0,30
Popielów,1609092,2,8029,0,0,16
Popów,2406072,2,5874,0,0,24
Poraj,2409042,2,10914,0,0,24
Porąbka,2402082,2,15630,0,0,24
Poręba,2416011,1,8480,0,0,24
Poronin,1217052,2,11650,0,0,12
Postomino,3213052,2,6891,0,0,32
Poświętne,1434082,2,6249,20,3.20051208193311,14
Poświętne,2002082,2,3364,0,0,20
Poświętne,1007062,2,3148,0,0,10
Potęgowo,2212072,2,6882,0,0,22
Potok Górny,0602112,2,5351,0,0,06
Potok Wielki,0605072,2,4651,0,0,06
Potworów,1423052,2,4187,0,0,14
Powidz,3023052,2,2320,0,0,30
Pozezdrze,2819022,2,3253,0,0,28
Poznań,3064011,1,534813,0,0,30
Prabuty,2207043,3,13091,0,0,22
Praszka,1608043,3,13472,0,0,16
Prażmów,1418052,2,11199,0,0,14
Prochowice,0209073,3,7406,0,0,02
Promna,1401022,2,5555,0,0,14
Prostki,2805042,2,7238,0,0,28
Proszowice,1214053,3,16139,0,0,12
Prószków,1609103,3,9091,0,0,16
Pruchnik,1804073,3,9681,15,1.54942671211652,18
Prudnik,1610043,3,27109,20,0.737762366741673,16
Prusice,0220023,3,9377,0,0,02
Pruszcz,0414082,2,9562,0,0,04
Pruszcz Gdański,2204011,1,31326,0,0,22
Pruszcz Gdański,2204042,2,31321,0,0,22
Pruszków,1421021,1,62317,0,0,14
Przasnysz,1422072,2,7228,15,2.07526286662977,14
Przasnysz,1422011,1,17177,0,0,14
Przechlewo,2203062,2,6331,0,0,22
Przeciszów,1213082,2,6761,30,4.43721342996598,12
Przecław,1811073,3,12003,30,2.49937515621095,18
Przedbórz,1012113,3,7122,30,4.212299915754,10
Przedecz,3009113,3,4120,0,0,30
Przelewice,3212042,2,5129,0,0,32
Przemęt,3029012,2,14173,10,0.705566923022649,30
Przemków,0216053,3,8341,0,0,02
Przemyśl,1813082,2,10650,0,0,18
Przemyśl,1862011,1,60689,0,0,18
Przerośl,2012042,2,2919,0,0,20
Przesmyki,1426072,2,3169,0,0,14
Przeworno,0217032,2,4754,0,0,02
Przeworsk,1814011,1,15291,0,0,18
Przeworsk,1814062,2,14863,0,0,18
Przewóz,0811072,2,3132,0,0,08
Przodkowo,2205032,2,9663,0,0,22
Przybiernów,3204062,2,5005,0,0,32
Przygodzice,3017052,2,12179,15,1.23162821249692,30
Przykona,3027062,2,4589,0,0,30
Przyłęk,1436032,2,6154,0,0,14
Przyrów,2404142,2,3752,30,7.99573560767591,24
Przystajń,2406082,2,5876,0,0,24
Przysucha,1423063,3,11783,60,5.09208181278113,14
Przytoczna,0803032,2,5627,0,0,08
Przytuły,2007062,2,2073,0,0,20
Przytyk,1425092,2,7308,0,0,14
Przywidz,2204052,2,5957,20,3.35739466174249,22
Psary,2401062,2,12221,0,0,24
Pszczew,0803042,2,4269,0,0,08
Pszczółki,2204062,2,9713,0,0,22
Pszczyna,2410053,3,52770,0,0,24
Pszów,2415011,1,13844,0,0,24
Puchaczów,0610052,2,5693,0,0,06
Puck,2211031,1,11241,0,0,22
Puck,2211072,2,26699,0,0,22
Puławy,0614011,1,47417,0,0,06
Puławy,0614092,2,12126,0,0,06
Pułtusk,1424043,3,24683,0,0,14
Puńsk,2009042,2,4161,0,0,20
Purda,2814102,2,8708,27,1.55029857602205,28
Puszcza Mariańska,1438032,2,8661,0,0,14
Puszczykowo,3021021,1,9657,0,0,30
Pyrzyce,3212053,3,19313,0,0,32
Pyskowice,2405021,1,18429,0,0,24
Pysznica,1818032,2,11194,0,0,18
Pyzdry,3030043,3,6937,0,0,30
Raba Wyżna,1211112,2,14750,0,0,12
Rabka-Zdrój,1211123,3,17091,0,0,12
Rachanie,0618072,2,5068,0,0,06
Raciąż,1420021,1,4394,0,0,14
Raciąż,1420102,2,8283,0,0,14
Raciążek,0401072,2,3138,15,4.78011472275335,04
Racibórz,2411011,1,54739,0,0,24
Raciechowice,1209052,2,6413,0,0,12
Racławice,1208062,2,2508,0,0,12
Raczki,2012052,2,5907,0,0,20
Radecznica,0620082,2,5644,0,0,06
Radgoszcz,1204062,2,7424,20,2.69396551724138,12
Radków,0208123,3,9052,0,0,02
Radków,2613042,2,2499,0,0,26
Radlin,2415021,1,17759,0,0,24
Radłów,1608052,2,4299,0,0,16
Radłów,1216053,3,9666,50,5.17277053589903,12
Radom,1463011,1,211371,0,0,14
Radomin,0405052,2,3837,0,0,04
Radomsko,1012011,1,45843,20,0.436271622712301,10
Radomsko,1012122,2,5582,0,0,10
Radomyśl nad Sanem,1818042,2,7311,0,0,18
Radomyśl Wielki,1811083,3,14292,40,2.79876854184159,18
Radoszyce,2605043,3,8891,0,0,26
Radowo Małe,3218032,2,3592,0,0,32
Radwanice,0216062,2,4808,0,0,02
Radymno,1804021,1,5273,35,6.63758771098047,18
Radymno,1804082,2,11395,0,0,18
Radzanowo,1419102,2,8500,0,0,14
Radzanów,1413042,2,3270,0,0,14
Radzanów,1401032,2,3887,0,0,14
Radziechowy-Wieprz,2417102,2,13079,0,0,24
Radziejowice,1438042,2,5855,0,0,14
Radziejów,0411011,1,5516,0,0,04
Radziejów,0411062,2,4375,0,0,04
Radziemice,1214062,2,3342,0,0,12
Radziłów,2004032,2,4722,10,2.11774671749259,20
Radzionków,2413031,1,16873,0,0,24
Radzymin,1434093,3,27504,0,0,14
Radzyń Chełmiński,0406043,3,4638,0,0,04
Radzyń Podlaski,0615011,1,15656,0,0,06
Radzyń Podlaski,0615062,2,8072,0,0,06
Rajcza,2417112,2,8810,0,0,24
Rajgród,2004043,3,5176,30,5.79598145285935,20
Rakoniewice,3005043,3,13178,0,0,30
Raków,2604162,2,5595,0,0,26
Rakszawa,1810062,2,7359,0,0,18
Raniżów,1806052,2,7036,0,0,18
Raszków,3017063,3,11849,40,3.37581230483585,30
Raszyn,1421062,2,21845,70,3.20439459830625,14
Rawa Mazowiecka,1013011,1,17324,0,0,10
Rawa Mazowiecka,1013042,2,8788,0,0,10
Rawicz,3022053,3,30303,0,0,30
Rąbino,3216042,2,3560,0,0,32
Recz,3202063,3,5454,30,5.5005500550055,32
Reda,2215011,1,26307,15,0.570190443608165,22
Regimin,1402082,2,4989,20,4.00881940268591,14
Regnów,1013052,2,1818,0,0,10
Rejowiec,0603153,3,6372,0,0,06
Rejowiec Fabryczny,0603011,1,4386,15,3.41997264021888,06
Rejowiec Fabryczny,0603082,2,4227,0,0,06
Reńska Wieś,1603062,2,8295,10,1.20554550934298,16
Repki,1429062,2,5173,0,0,14
Resko,3218043,3,7988,0,0,32
Reszel,2808053,3,7488,0,0,28
Rewal,3205072,2,3862,0,0,32
Ręczno,1010072,2,3523,0,0,10
Rędziny,2404152,2,9933,0,0,24
Rogowo,0412032,2,4765,0,0,04
Rogowo,0419052,2,6828,0,0,04
Rogoźno,3016023,3,18353,0,0,30
Rogów,1021052,2,4711,0,0,10
Rogóźno,0406052,2,4241,0,0,04
Rojewo,0407082,2,4718,0,0,04
Rokiciny,1016072,2,6160,0,0,10
Rokietnica,1804092,2,4349,0,0,18
Rokietnica,3021132,2,18637,20,1.07313408810431,30
Rokitno,0601122,2,2972,0,0,06
Ropa,1205082,2,5507,0,0,12
Ropczyce,1815033,3,27487,65,1.18237712373122,18
Rossosz,0601132,2,2193,0,0,06
Rościszewo,1427042,2,4139,0,0,14
Rozdrażew,3012052,2,5204,0,0,30
Rozogi,2817052,2,5523,0,0,28
Rozprza,1010082,2,12297,0,0,10
Roźwienica,1804102,2,6235,12,1.92461908580593,18
Różan,1411073,3,4418,0,0,14
Ruciane-Nida,2816043,3,7991,0,0,28
Ruda Maleniecka,2605052,2,3069,0,0,26
Ruda Śląska,2472011,1,137360,0,0,24
Ruda-Huta,0603092,2,4502,0,0,06
Rudka,2003072,2,1868,0,0,20
Rudna,0211032,2,7806,0,0,02
Rudnik,2411082,2,5193,15,2.88850375505488,24
Rudnik,0606092,2,3009,0,0,06
Rudnik nad Sanem,1812063,3,10173,0,0,18
Rudniki,1608062,2,8159,0,0,16
Rudziniec,2405052,2,10643,0,0,24
Ruja,0209082,2,2595,0,0,02
Rumia,2215021,1,49230,0,0,22
Rusiec,1001062,2,5080,0,0,10
Rusinów,1423072,2,4274,0,0,14
Rutka-Tartak,2012062,2,2322,0,0,20
Rutki,2014032,2,5514,0,0,20
Rybczewice,0617042,2,3362,0,0,06
Rybnik,2473011,1,138098,20,0.144824689713102,24
Rybno,2803062,2,7196,45,2.08449138410228,28
Rybno,1428062,2,3478,35,10.0632547441058,14
Rychliki,2804082,2,3753,0,0,28
Rychtal,3008062,2,3804,0,0,30
Rychwał,3010073,3,8249,0,0,30
Ryczywół,3016032,2,7293,0,0,30
Rydułtowy,2415031,1,21514,0,0,24
Rydzyna,3013043,3,9636,0,0,30
Ryglice,1216063,3,11652,0,0,12
Ryjewo,2207052,2,5831,0,0,22
Ryki,0616043,3,20386,0,0,06
Rymanów,1807083,3,15922,15,0.942092701921869,18
Rymań,3208052,2,3929,0,0,32
Ryn,2806083,3,5668,0,0,28
Ryńsk,0417052,2,8587,0,0,04
Rypin,0412011,1,16130,0,0,04
Rypin,0412042,2,7492,0,0,04
Rytro,1210152,2,3777,0,0,12
Rytwiany,2612062,2,6371,0,0,26
Rząśnia,1009052,2,4939,0,0,10
Rząśnik,1435032,2,7004,0,0,14
Rzeczenica,2203072,2,3607,15,4.15858053784308,22
Rzeczniów,1409042,2,4352,0,0,14
Rzeczyca,1016082,2,4643,0,0,10
Rzekuń,1415102,2,10839,15,1.38389150290617,14
Rzepiennik Strzyżewski,1216072,2,6738,55,4.08132977144553,12
Rzepin,0805043,3,9714,0,0,08
Rzeszów,1863011,1,196208,0,0,18
Rzewnie,1411082,2,2638,0,0,14
Rzezawa,1201072,2,11348,15,1.32181882270004,12
Rzgów,1006103,3,10459,0,0,10
Rzgów,3010082,2,7275,0,0,30
Sabnie,1429072,2,3636,0,0,14
Sadki,0410042,2,7252,0,0,04
Sadkowice,1013062,2,5412,0,0,10
Sadlinki,2207062,2,5984,30,5.01336898395722,22
Sadowie,2606062,2,3929,0,0,26
Sadowne,1433072,2,5828,0,0,14
Samborzec,2609072,2,8420,0,0,26
Sandomierz,2609011,1,23362,0,0,26
Sanniki,1404043,3,5997,0,0,14
Sanok,1817011,1,37359,0,0,18
Sanok,1817052,2,18086,30,1.6587415680637,18
Santok,0801062,2,8636,0,0,08
Sarnaki,1410052,2,4645,0,0,14
Sawin,0603102,2,5470,0,0,06
Secemin,2613052,2,4811,0,0,26
Sejny,2009011,1,5260,20,3.80228136882129,20
Sejny,2009052,2,4007,0,0,20
